Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
exterior accessible route has a cross slope|<WTB>|nein||highway=access_ramp, incline:across=down, incline:across=sag, incline:across=user defined|route=accessible|Way to building|Exterior accessible route|slope [4]|cross slope [1]|Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, Pathways#maxLateralSlope
exterior accessible route is a running slope|<WTB>|nein||highway=access_ramp, incline=down, incline=up, incline=user defined|route=accessible|Way to building|Exterior accessible route|slope [4]|running slope [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair
exterior accessible route is in a stable condition|<WTB>|nein||highway=access_ramp, smoothness=excellent, smoothness=good, smoothness=intermediate|route=accessible|Way to building|Exterior accessible route|condition [1]|stable [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#sidewalkConditions
exterior accessible route with passing space|<WTB>|nein||height=user defined, highway=access_ramp, length=user defined, width=user defined|clear_floor_space=yes|Way to building|Exterior accessible route|passing space [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#widthAtObstacles
firm condition of the exterior accessible route|<WTB>|nein||highway=access_ramp, smoothness=excellent, smoothness=good, smoothness=intermediate|route=accessible|Way to building|Exterior accessible route|condition [1]|firm [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#sidewalkConditions
good/bad condition of exterior accessible route|<WTB>|nein||highway=access_route, smoothness=bad, smoothness=good|route=accessible|Way to building|Exterior accessible route|condition [1]|good/bad|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, Ground#sidewalkConditions
slip-resistant exterior accessible route|<WTB>|nein||access=yes, access:disabled=yes|route=accessible, slip-resistant=yes|Way to building|Exterior accessible route|condition [2]|slip-resistant [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Stairs#hasAntiSlipNosing
slope of exterior accessible route|<WTB>|nein||access=yes, access:disabled=yes, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|route=accessible|Way to building|Exterior accessible route|slope [4]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
undulations on exterior accessible route|<WTB>|nein|||route=accessible, undulations=yes|Way to building|Exterior accessible route|condition [1]|undulations|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair
width of exterior accessible route|<WTB>|nein||access=yes, width=user defined|route=accessible|Way to building|Exterior accessible route|dimension [9]|width [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#width, Pathways#widthAtObstacles
condition of exterior accessible route|<WTB>|nein||incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, surface=acrylic, surface=asphalt,surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=metal, surface=paved, surface=paving_stones, surface=tartan, surface=wood, wheelchair=limited, wheelchair=no, wheelchair=yes|condition=bad, condition=good, condition=medium, route=accessible|Way to building|Exterior accessible route|condition [1]||Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, Ground#sidewalkConditions, PlaceInfo#accessibility
dimension of exterior accessible route|<WTB>|nein||access=yes, access:disabled=yes, height=user defined, length=user defined, wheelchair=yes, width=user defined|route=accessible|Way to building|Exterior accessible route|dimension [9]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility
drive-through way where customers can visit a business without leaving their cars|<WTB>|nein||service=drive-through|||||||
