Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
office building|<TYP>|nein||building=office|||||||PlaceInfo#category
kiosk, one room retail building|<TYP>|nein||building=kiosk|||||||StructuredAddress#room
terrace building, outline of a linear row of residential dwellings, normally has its own entrance|<TYP>|nein||building=terrace|||||||
purpose of building|<TYP>|nein||building=apartments, building=bakehouse, building=barn, building=bridge, building=bungalow, building=bunker, building=cabin, building=carport, building=cathedral, building=chapel, building=church, building=civic, building=college, building=commercial, building=conservatory, building=construction, building=cowshed, building=detached, building=digester, building=dormitory, building=farm, building=farm_auxiliary, building=fire_station, building=garage, building=garages, building=gatehouse, building=ger, building=government, building=grandstand, building=greenhouse, building=hangar, building=hospital, building=hotel, building=house, building=houseboat, building=hut, building=industrial, building=kindergarten, building=kiosk, building=mosque, building=office, building=parking, building=pavilion, building=public, building=religious, building=residential, building=retail, building=riding_hall, building=roof, building=ruins, building=school, building=semidetached, building=service, building=shed, building=shrine, building=slurry_tank, building=sports_hall, building=stable, building=stadium, building=static_caravan, building=sty, building=supermarket, building=synagogue, building=temple, building=terrace, building=toilets, building=train_station, building=transformer_tower, building=transportation, building=tree_house, building=university, building=warehouse, building=water_tower, building=yes||General building information|Formal information|purpose [1]|||PlaceInfo#accessibility
cabin building, roughly built house|<TYP>|nein||building=cabin|||||||PlaceInfo#category, StructuredAddress#house
ruined building|<TYP>|nein||building=ruins|||||||
shed, a simple structure used as storage or workshop|<TYP>|nein||building=shed|||||||
house, single dwelling unit|<TYP>|nein||building=house|||||||
single-owner private garage|<TYP>|nein||building=garage|||||||
small building|<TYP>|nein||building=shed, building=hut, building=kiosk, building=cabin|||||||
transformer tower, small but tall building constructed to comprise a transformer and connect to an overhead power line|<TYP>|nein||building=transformer_tower|||||||
service building, small umanned building with certain machinery|<TYP>|nein||building=service|||||||
gatehouse, spanning over a highway that enters a city or compound|<TYP>|nein||building=gatehouse|||||||
structure purpose-built for parking cars|<TYP>|nein||building=parking|||||||WheelchairParking#count, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
train station building|<TYP>|nein||building=train_station|||||||
tree house|<TYP>|nein||building=tree_house|||||||
university building|<TYP>|nein||building=university|||||||
watertower|<TYP>|nein||building=water_tower|||||||
block of private garages each with a separate owner|<TYP>|nein||building=garages|||||||
entry control point building|<TYP>|nein||building=gatehouse|||||||
location used for fire spotting|<TYP> <EMG>|nein||emergency=fire_lookout|||||||
portable, round tent|<TYP>|nein||building=ger|||||||
building under construction|<TYP>|nein||building=construction|||||||
condition of ground in front of entrance|<ENTR>|nein||incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, surface=acrylic, surface=artificial_turf, surface=asphalt,surface=carpet, surface=clay, surface=cobblestone, surface=cobblestone:flattend, surface=compacted, surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=dirt, surface=earth, surface=fine_gravel, surface=grass, surface=grass_paver, surface=gravle, surface=ground, surface=ice, surface=metal, surface=metal_grid, surface=mud, surface=paved, surface=paving_stones, surface=pebblestone, surface=rock, surface=salt, surface=sand, surface=sett, surface=snow, surface=tartan, surface=unhewn_cobblestone, surface=unpaved, surface=wood, surface=woodchips|condition=bad, condition=good, condition=medium|Way to building|Ground in front of entrance|condition [3]|||
condition of ground in front of entrance: large stone slabs (with/on large joints)|<ENTR>|nein||incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, surface=cobblestone, surface=concrete_lanes, surface=grass_paver, surface=paving_stones, surface=rock, surface=sett, surface=stepping_stones, surface=unhewn_cobblestone|condition=bad, condition=good, condition=medium|Way to building|Ground in front of entrance|condition [3]|large stone slabs (with/on large joints)||
access via accessible door|<ENTR>|nein||access=yes, access:disabled=yes, door=yes, wheelchair=yes||Building characteristics|Doorways|accessibility [1]|through door|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
additional entry|<ENTR>|nein||entrance=secondary||Building characteristics|Doorways|type of entrance/exit door|side entrance||Entrance#door
backdoor|<ENTR>|nein||entrance=service|||||||Entrance#door, EquipmentProperties#door
controlled entryway to a fortification or prison|<ENTR>|nein||barrier=sally_port|||||||
entrance of a building|<ENTR>|nein||entrance=yes||Building characteristics|Doorways|type of entrance/exit door|entrance||Entrance#door
door for a loading dock|<ENTR>|nein||door=loadingdock|||||||EquipmentProperties#door
entrance door provides inside visual contrast to wall|<ENTR>|nein||door=yes, entrance=yes, indoor=yes|high_contrast=yes|Building characteristics|Doorways|material of the entrance door|visual contrast to wall: inside||Entrance#door, EquipmentProperties#isHighContrast
entrance door provides outside visual contrast to wall|<ENTR>|nein||door=yes, entrance=yes, indoor=no|high_contrats=no|Building characteristics|Doorways|material of the entrance door|visual contrast to wall: outside||Entrance#door, EquipmentProperties#isHighContrast
entrance has fixed ramp|<ENTR>|nein||entrance=yes, highway=access_ramp, ramp=yes|ramp=permanent||||||Entrance#hasFixedRamp
entrance has removable ramp|<ENTR>|nein||entrance=yes, removable=yes, ramp=yes|||||||Entrance#hasRemovableRamp
entrance leads directly in the elevator|<ENTR>|nein||elevator=entrance|||||||Entrance#door
entrance number|<ENTR>|nein||entrance=yes, ref=user defined||General help for orientation / Technical assistance|Plan|entrance number|||
entrance slope angle|<ENTR>|nein||entrance=yes, incline:across=10°, incline:across=10%, incline:across=user defined, incline:avg=10°, incline:avg=10%, incline:avg=user defined, incline=10°, incline=10%, incline=user defined|||||||Entrance#slopeAngle, Ground#slopeAngle
garage door|<ENTR>|nein||door=overhead|||||||EquipmentProperties#door
ground level entrance|<ENTR>|nein||entrance=yes, level=0, step_count=0|entrance=ground_level|Building characteristics|Doorways|level [1]|ground level entrance||Entrance#door, Entrance#isLevel
ID of entrance intercom equipment|<ENTR>|nein||entrance=yes|ID=yes, intercom=yes||||||Entrance#intercomEquipmentId, EquipmentProperties#originalId, PlaceInfo#creatorId, PlaceInfo#originalId
main entrance of a building|<ENTR>|nein||entrance=main||Building characteristics|Doorways|type of entrance/exit door|main entrance||Entrance#door, Entrance#isMainEntrance
masonry tactile pavement to the entrance|<ENTR>|nein||material=masonry||Way to building|Ground in front of entrance|tactile pavement to the entrance|masonry||
material of the entrance door|<ENTR>|nein||door=yes, entrance=yes, material=adobe, material=andesite, material=bamboo, material=brass, material=brick, material=bronze, material=cement_block, material=concrete, material=glass, material=granite, material=limestone, material=masonry, material=metal, material=metal_plates, material=mirror, material=mud, material=palm_leaves, material=plaster, material=plastic, material=rammed_earth, material=reinforced_concrete, material=sand_cement_blocks, material=sandstone, material=silicate brick, material=slate, material=soil, material=steel, material=stone, material=tiles, material=timber_frayming, material=wood, material=vinyl||Building characteristics|Doorways|material of the entrance door|||Entrance#door, EquipmentProperties#door
name of entrance|<ENTR>|nein||entrance=yes, name=user defined|||||||Entrance#name, PlaceInfo#name
other condition of ground in front of entrance|<ENTR>|nein||surface=acrylic, surface=artificial_turf, surface=asphalt, surface=carpet, surface=clay, surface=cobblestone, surface=cobblestone:flattend, surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=compacted, surface=dirt, surface=earth, surface=fine_gravel, surface=grass, surface=grass_paver, surface=gravel, surface=ground, surface=ice, surface=metal, surface=metal_grid, surface=mud, surface=paved, surface=paving_stones, surface=pebblestone, surface=rock, surface=salt, surface=sand, surface=sett, surface=snow, surface=tartan, surface=unhewn_cobblestone, surface=unpaved, surface=wood, surface=woodchips|ground:condition=average, ground:condition=bad, ground:condition=good|Way to building|Ground in front of entrance|condition [3]|other||Ground#sidewalkConditions
other upstand at the tactile pavement to the entrance|<ENTR>|nein||entrance=yes, kerb=flush, kerb=lowered, kerb=raised, kerb=rolled, kerb=yes, obstacle:wheelchair=step, obstacle:wheelchair=yes, tactile_paving=yes|upstand=yes|Way to building|Ground in front of entrance|tactile pavement to the entrance|other upstand||
ramp to the entrance door|<ENTR>|nein||door=yes, entrance=yes, ramp=yes|door=entrance, ramp=entrance|Change in Ground Height|Ramp|where to|entrance -> door||Entrance#hasFixedRamp, Entrance#hasRemovableRamp
stairs at entrance|<ENTR>|nein||entrance=staircase, entrance=yes|||||||Entrance#stairs, Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
tactile pavement to the entrance|<ENTR>|nein||tactile_paving=yes|tactile_paving=entrance|Way to building|Ground in front of entrance|tactile pavement to the entrance|||
tactile pavement to the entrance ending in a wall|<ENTR>|nein||tactile_paving=incorrect|tactile_paving=entrance, tactile_paving=wall|Way to building|Ground in front of entrance|tactile pavement to the entrance|wall||
tactile pavement to the entrance out of profile bricks|<ENTR>|nein||tactile_paving=yes|tactile_paving=entrance, tactile_paving=profile_bricks|Way to building|Ground in front of entrance|tactile pavement to the entrance|profile bricks||
tactile pavement to the entrance with curb|<ENTR>|nein||tactile_paving=yes|tactile_paving=curb, tactile_paving=entrance|Way to building|Ground in front of entrance|tactile pavement to the entrance|curb||
